Classification,Name,Pages,PageCount,Category,RawTexts
Domain,CM,"5,6,27,28,29,53,54,55",8,dataset_name,CM | CM=Concomitant Medications
Domain,DD,51,1,dataset_name,DD=Death Details
Domain,DM,"10,13,14,49,64",5,dataset_name,DM=Demographics | DM=Demoeraphics
Domain,DS,"8,14,17,62,63",5,dataset_name,DS | DS=Disposition
Domain,EC,"46,61",2,dataset_name,EC=Exposure as Collected
Domain,FA,"18,19,20,21,22,23,46,47",8,dataset_name,FA=Findings About | FA=Findines About
Domain,FAQBS,21,1,dataset_name,FAQBS = SURGERY FOR DISEASE
Domain,FAQBS=SURGERY FOR DISEASE,21,1,dataset_name,FAQBS = SURGERY FOR DISEASE
Domain,MH,"18,21,25",3,dataset_name,MH=Medical History
Domain,OI,4,1,dataset_name,(OI
Domain,PC,"56,57",2,dataset_name,PC=Pharmacokinetic Concentrations
Domain,PE,"30,31,32,33,34",5,dataset_name,PE=Physical Examination
Domain,PR,"18,21",2,dataset_name,PR=Procedures
Domain,RS,"41,42,43",3,dataset_name,RS=Disease Response
Domain,SS,"2,41",2,dataset_name,1 )SS | «SS TAT=NOT DONE when RSTESTCD=RSALL
Domain,SU,15,1,dataset_name,SU=Substance Use
Domain,SUPPAE,"49,50,51",3,dataset_name,QNAM=AERELPR in SUPPAE | QNAM=HYREACEL in SUPPAE | QNAM=AEST in SUPPAE | QNAM=PMLFL in SUPPAE | QNAM=OTHEL in SUPPAE | QNAM=MALIGEFL in SUPPAE | QNAM=INFECTFL in SUPPAE | QNAM=AEHOSPDT in SUPPAE | QNAM=AEDISCDT in SUPPAE
Domain,SUPPCM,55,1,dataset_name,QNAM=CMINDMH1 in SUPPCM | QNAM=CMINDMHS3 in SUPPCM | QNAM=CMINDMA2? in SUPPCM | QNAM=CMINDAES in SUPPCM | QNAM=CMINDAET in SUPPCM QNAM=CMINDAE2 in SUPPCM
Domain,SUPPDM,"10,13,14,64",4,dataset_name,DIAGGRP in SUPPDM | QNAM=RACESASN in SUPPDM | QNAM=RACEASN in SUPPDM | QNAM=RACEASN in SUPPXM then RACE=MULTIPLE when RACE=MULTIPLE | QNAM=PROTVRSN in SUPPDM | QNAM=STDYSTYN in SUPPDM | QNAM=STDYST_1 in SUPPDM
Domain,SUPPDS,17,1,dataset_name,QNAM=SCRISTNO in SUPPDS | QNAM=SCRISTST in SUPPDS | QNAM=SCRSTD in SUPPDS
Domain,SUPPEC,"46,61",2,dataset_name,QNAM=ECACN in SUPPEC | QNAM=EVLDTL in SUPPEC when Other | QNAM=EVLDTL in SUPPEC
Domain,SUPPFA,"19,21,22",3,dataset_name,QNAM=OTHEXMN in SUPPFA | QNAM=OTHDSLOC in SUPPFA
Domain,SUPPLB,44,1,dataset_name,QNAM=LBSUCAT in SUPPLB when LBSTAT’=NOT DONE
Domain,SUPPPE,34,1,dataset_name,QNAM=BODSYSOT in SUPPPE
Domain,SUPPSU,15,1,dataset_name,SUNCEF in SUPPSU
Domain,SUPPSV,60,1,dataset_name,QNAM=SVREASOC in SUPPSV when Other | QNAM=SVREASOC in SUPPSV | \QNAM=MISSASMT in SUPPSV; Y when Visit with Missed Assessment: | QNAM=ST OCCUR in SUPPSV; Nowhen No Visit; Ywhen the others selectec
Domain,SUPPXM,"10,13,14",3,dataset_name,DIAGGRP in SUPPXM | QNAM=RACESASN in SUPPXM | QNAM=RACEASN in SUPPDM | QNAM=RACEASN in SUPPXM then RACE=MULTIPLE when RACE=MULTIPLE | QNAM=PROTVRSN in SUPPXM
Domain,SV,"11,12,59,60,61",5,dataset_name,SV=Subject Visits
Domain,TS,"1,4,6",3,dataset_name,COVID-TS | (HOV TS
Domain,VS,"35,36,37,38,39",5,dataset_name,VS=Vital Signs
Variable,AEACN,49,1,standard_variable,AEACN
Variable,AEENDTC,49,1,standard_variable,AEENDTC
Variable,AEOUT,49,1,standard_variable,AEOUT
Variable,AEPATT,49,1,standard_variable,AEPATT
Variable,AEREL,"49,51",2,standard_variable,AEREL
Variable,AESCONG,51,1,standard_variable,AESCONG
Variable,AESDISAB,51,1,standard_variable,AESDISAB
Variable,AESDTH,51,1,standard_variable,AESDTH
Variable,AESER,"49,51",2,standard_variable,AESER | AESER=Y
Variable,AESER=Y,51,1,standard_variable,AESER=Y
Variable,AESEV,49,1,standard_variable,AESEV
Variable,AESHOSP,51,1,standard_variable,AESHOSP
Variable,AESLIFE,51,1,standard_variable,AESLIFE
Variable,AESMIE,51,1,standard_variable,AESMIE
Variable,AESOD,51,1,standard_variable,AESOD
Variable,AESPID,51,1,standard_variable,AESPID
Variable,AESTDTC,"49,51",2,standard_variable,AESTDTC
Variable,AESTTPT,49,1,standard_variable,"LESTRIPT=BEFORE and AESTTPT=FIRST DOSE OF STUDY ""REATMENT if ¥es is selected"
Variable,AETERM,"49,51",2,standard_variable,AETERM
Variable,AGE,"13,50",2,standard_variable,AGE | AGE=Adverse Events
Variable,AGEU,13,1,standard_variable,AGEU
Variable,AOBJI,19,1,unknown,PF AOBJI=CROHN'S DISEASE
Variable,ASCAT,18,1,unknown,“ASCAT= EXTRAINTESTINAL MANIFESTATIONS
Variable,ASCAT=EXTRAINTESTINAL MANIFESTATIONS,18,1,unknown,“ASCAT= EXTRAINTESTINAL MANIFESTATIONS
Variable,AST,8,1,unknown,AST
Variable,AVA,5,1,unknown,AVA
Variable,AX,"5,6,7,8,9",5,unknown,AX
Variable,BOWE,7,1,unknown,BOWE!
Variable,BRTHDTC,13,1,standard_variable,BRTHDTC
Variable,CAT,21,1,unknown,‘4 CAT=DISEASE CHARACTERISTICS ULCERATIVE COLITIS
Variable,CAT=DISEASE CHARACTERISTICS ULCERATIVE COLITIS,21,1,unknown,‘4 CAT=DISEASE CHARACTERISTICS ULCERATIVE COLITIS
Variable,CELSIUS,"19,22",2,unknown,FAOBJ=FEVER OVER 37.8 DEGREES CELSIUS | ‘FAOBJ=FEVER OVER 37.8 DEGREES CELSIUS
Variable,CMCAT,"27,53",2,standard_variable,CMCAT
Variable,CMDOSE,"27,53",2,standard_variable,CMDOSE
Variable,CMDOSFRO,"27,53,54",3,unknown,CMDOSFRO
Variable,CMDOSFRQ,28,1,standard_variable,CMDOSFRQ
Variable,CMDOSTXT,"27,53",2,standard_variable,CMDOSTXT
Variable,CMDOSU,"27,53",2,standard_variable,CMDOSU
Variable,CMENDTC,"29,55",2,standard_variable,CMENDTC
Variable,CMENRTPT,55,1,standard_variable,CMENRTPT
Variable,CMINDC,"29,55",2,standard_variable,CMINDC
Variable,CMROUTE,"28,29,54,55",4,standard_variable,CMROUTE
Variable,CMSTDTC,"29,55",2,standard_variable,CMSTDTC
Variable,CMSTRTPT,55,1,standard_variable,CMSTRTPT
Variable,CMTRT,"27,53",2,standard_variable,CMTRT
Variable,COUNTRY,13,1,standard_variable,COUNTRY
Variable,COVID,"1,4",2,unknown,COVID-TS
Variable,CRITERIZ,17,1,unknown,DSTERM when VOLUNTARY WITHDRAWAL or OTHER or INC/EXC CRITERIZ
Variable,DAI,"1,2,3,4",4,unknown,(DAI
Variable,DDORRES,51,1,standard_variable,DDORRES when DDTESTCD=DTHCOIND | DDORRES when DDTESTCD=AUTOPIND | DDORRES when DDTESTCD=GENCDTH
Variable,DDSPID,51,1,standard_variable,DDSPID
Variable,DDTESTCD,51,1,standard_variable,DDORRES when DDTESTCD=DTHCOIND | DDORRES when DDTESTCD=AUTOPIND | DDORRES when DDTESTCD=GENCDTH
Variable,DDTESTCD=AUTOPIND,51,1,standard_variable,DDORRES when DDTESTCD=AUTOPIND
Variable,DDTESTCD=DTHCOIND,51,1,standard_variable,DDORRES when DDTESTCD=DTHCOIND
Variable,DDTESTCD=GENCDTH,51,1,standard_variable,DDORRES when DDTESTCD=GENCDTH
Variable,DEGREES,"19,22",2,unknown,FAOBJ=FEVER OVER 37.8 DEGREES CELSIUS | ‘FAOBJ=FEVER OVER 37.8 DEGREES CELSIUS
Variable,DIAGGRP,"10,14",2,standard_variable,DIAGGRP in SUPPXM | DIAGGRP in SUPPDM
Variable,DIOOA,"5,8",2,unknown,DIOOA
Variable,DISEASE,"18,19,20",3,unknown,FAOBJ= s URGERY FOR DISEASE | ‘FACAT=DISEASE CHARACTERISTICS CROHN'S DISEASE | PF AOBJI=CROHN'S DISEASE | FAOBJ=CROHN'S DISEASE | FAOBJ=CROAN'S DISEASE
