Classification,Name,Pages,PageCount,Category,RawTexts
Domain,AE,"49,50,51,55",4,dataset_name,AE=Adverse Events | CM linked to related AE or MH record via RELREC
Domain,CM,"27,28,29,53,54,55",6,dataset_name,CM=Concomitant Medications | CM linked to related AE or MH record via RELREC
Domain,DD,51,1,dataset_name,DD=Death Details
Domain,DM,"10,13,14,49,64",5,dataset_name,DM=Demographics
Domain,DS,"14,17,62,63",4,dataset_name,DS=Disposition
Domain,EC,"46,47,61",3,dataset_name,EC=Exposure as Collected | EC linked to relative FA record via RELREC
Domain,FA,"18,19,20,21,22,23,46,47",8,dataset_name,FA=Findings About | EC linked to relative FA record via RELREC
Domain,IE,16,1,dataset_name,IE=Inclusion/Exclusion Criteria Not Met
Domain,IS,58,1,dataset_name,
Domain,LB,"44,45",2,dataset_name,LB=Laboratory Test Results
Domain,MH,"18,21,25,55",4,dataset_name,MH=Medical History | CM linked to related AE or MH record via RELREC
Domain,PC,"56,57",2,dataset_name,PC=Pharmacokinetic Concentrations
Domain,PE,"30,31,32,33,34",5,dataset_name,PE=Physical Examination
Domain,PR,"18,21",2,dataset_name,PR=Procedures
Domain,QS,40,1,dataset_name,QS=Questionnaires
Domain,RELREC,"47,55",2,dataset_name,EC linked to relative FA record via RELREC | CM linked to related AE or MH record via RELREC
Domain,RS,"41,42,43",3,dataset_name,RS=Disease Response
Domain,SU,15,1,dataset_name,SU=Substance Use
Domain,SUPPAE,"49,50,51",3,dataset_name,QNAM=AERELPR in SUPPAE | QNAM=HYREACFL in SUPPAE | QNAM=AESI in SUPPAE | QNAM=OTHFL in SUPPAE | QNAM=MALIGFL in SUPPAE | QNAM=PMLFL in SUPPAE | QNAM=INFECTFL in SUPPAE | QNAM=AEHOSPDT in SUPPAE | QNAM=AEDISCDT in SUPPAE
Domain,SUPPCM,55,1,dataset_name,QNAM=CMINDAE1 in SUPPCM | QNAM=CMINDAE2 in SUPPCM | QNAM=CMINDAE3 in SUPPCM | QNAM=CMINDMH1 in SUPPCM | QNAM=CMINDMH2 in SUPPCM | QNAM=CMINDMH3 in SUPPCM
