Classification,Name,Pages,PageCount,Category,RawTexts
Domain,AE,"2,3,4,17",4,dataset_name,AE (Adverse Events) | Used for RELREC of AE and CM
Domain,CE,"21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,102,103,104,105,106,108,109",74,dataset_name,CE (Clinical Events)
Domain,CM,"12,13,14,15,16,17,96,97,98,99,100,101,111,112,113,114,115",17,dataset_name,CM (Concomitant/Prior Medications) | Used for RELREC of AE and CM | Used for RELREC of MH and CM
Domain,DD,4,1,dataset_name,DD (Death Details)
Domain,DM,"19,20",2,dataset_name,DM (Demographics)
Domain,DS,"19,20,90,91,116,118",6,dataset_name,DS (Disposition)
Domain,EC,"88,89",2,dataset_name,EC (Exposure as Collected)
Domain,FA,"21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,102,103,104,105,106,107,108,109",74,dataset_name,FA (Findings About Events or Interventions)
Domain,IE,"93,94",2,dataset_name,IE (Inclusion/Exclusion Criteria Not Met)
Domain,IS,11,1,dataset_name,
Domain,LB,110,1,dataset_name,LB (Laboratory Test Results)
Domain,MH,"17,95",2,dataset_name,Used for RELREC of MH and CM | MH (Medical History)
Domain,RELREC,17,1,dataset_name,Used for RELREC of AE and CM | Used for RELREC of MH and CM
Domain,RP,117,1,dataset_name,RP (Reproductive System Findings)
Domain,SUPPAE,"2,3,4",3,dataset_name,AEPTRTPT in SUPPAE | AERELPR in SUPPAE | MAAE in SUPPAE | AESLCTD in SUPPAE | ACNDNC in SUPPAE | ACNDW in SUPPAE | ACNNA in SUPPAE | ACNDD in SUPPAE | AEDIS in SUPPAE | AEHOSPDT in SUPPAE | AEDISCDT in SUPPAE
Domain,SUPPCM,115,1,dataset_name,TRTMAN in SUPPCM | VACDOC in SUPPCM | VACHISTR in SUPPCM
Domain,SUPPDM,"19,20",2,dataset_name,RACESASN in SUPPDM | PROTVRSN in SUPPDM | PLGCNTO in SUPPDM | PLGCNTO2 in SUPPDM | SPASENTO in SUPPDM | COHORT in SUPPDM
Domain,SUPPDS,116,1,dataset_name,PROTVRSN in SUPPDS
Domain,SUPPEC,"88,89",2,dataset_name,ECREASOC in SUPPEC | ECACN in SUPPEC | ECDEL in SUPPEC | ECDELOTH in SUPPEC
Domain,SUPPFA,"77,78,79,80,81,82,83,84,85,86,87",11,dataset_name,FAREASOC in SUPPFA
Domain,SUPPVS,"77,78,79,80,81,82,83,84,85,86,87",11,dataset_name,VSCOLSRT=MAXIMUM in SUPPVS
Domain,SV,18,1,dataset_name,SV (Subject Visits)
Domain,VS,"77,78,79,80,81,82,83,84,85,86,87,119,120,121",14,dataset_name,VS (Vital Signs)
Variable,ACNDD,3,1,standard_variable,ACNDD in SUPPAE
Variable,ACNDNC,3,1,standard_variable,ACNDNC in SUPPAE
Variable,ACNDW,3,1,standard_variable,ACNDW in SUPPAE
Variable,ACNNA,3,1,standard_variable,ACNNA in SUPPAE
Variable,AEACN,3,1,standard_variable,If multiple values are selected AEACN=MULTIPLE
Variable,AEACN=MULTIPLE,3,1,standard_variable,AEACN=MULTIPLE
Variable,AEDIS,3,1,standard_variable,AEDIS in SUPPAE
Variable,AEDISCDT,4,1,standard_variable,AEDISCDT in SUPPAE
Variable,AEENDTC,2,1,standard_variable,AEENDTC
Variable,AEHOSPDT,4,1,standard_variable,AEHOSPDT in SUPPAE
Variable,AEOUT,3,1,standard_variable,AEOUT
Variable,AEPATT,2,1,standard_variable,AEPATT
Variable,AEPTRTPT,2,1,standard_variable,AEPTRTPT in SUPPAE
Variable,AEREL,2,1,standard_variable,AEREL
Variable,AERELPR,2,1,standard_variable,AERELPR in SUPPAE
Variable,AESCONG,3,1,standard_variable,AESCONG
Variable,AESDISAB,3,1,standard_variable,AESDISAB
Variable,AESDTH,3,1,standard_variable,AESDTH
Variable,AESER,3,1,standard_variable,AESER
Variable,AESEV,2,1,standard_variable,AESEV
Variable,AESHOSP,4,1,standard_variable,AESHOSP
Variable,AESLCTD,2,1,standard_variable,AESLCTD in SUPPAE
Variable,AESLIFE,4,1,standard_variable,AESLIFE
Variable,AESMIE,4,1,standard_variable,AESMIE
Variable,AESTDTC,2,1,standard_variable,AESTDTC
Variable,AETERM,2,1,standard_variable,AETERM
Variable,AGE,19,1,standard_variable,AGE
Variable,BRTHDTC,19,1,standard_variable,BRTHDTC
