category,term
dataset,AE
dataset,AG
dataset,APDM
dataset,APRELSUB
dataset,BE
dataset,BS
dataset,CE
dataset,CM
dataset,CO
dataset,CP
dataset,CV
dataset,DA
dataset,DD
dataset,DE
dataset,DI
dataset,DM
dataset,DO
dataset,DR
dataset,DS
dataset,DT
dataset,DU
dataset,DV
dataset,DX
dataset,EC
dataset,EG
dataset,ER
dataset,EX
dataset,FA
dataset,FT
dataset,GF
dataset,GI
dataset,HM
dataset,HO
dataset,IE
dataset,IS
dataset,LB
dataset,MB
dataset,MH
dataset,MI
dataset,MK
dataset,ML
dataset,MS
dataset,NV
dataset,OE
dataset,OI
dataset,PC
dataset,PE
dataset,POOLDEF
dataset,PP
dataset,PR
dataset,QS
dataset,RE
dataset,RELREC
dataset,RELREF
dataset,RELSPEC
dataset,RELSUB
dataset,RP
dataset,RS
dataset,SC
dataset,SE
dataset,SJ
dataset,SM
dataset,SR
dataset,SS
dataset,SU
dataset,SUPPAE
dataset,SUPPBE
dataset,SUPPCE
dataset,SUPPCM
dataset,SUPPCV
dataset,SUPPDD
dataset,SUPPDE
dataset,SUPPDM
dataset,SUPPDS
dataset,SUPPDV
dataset,SUPPEC
dataset,SUPPFA
dataset,SUPPGF
dataset,SUPPGI
dataset,SUPPHM
dataset,SUPPHO
dataset,SUPPIS
dataset,SUPPLB
dataset,SUPPMB
dataset,SUPPMH
dataset,SUPPMI
dataset,SUPPML
dataset,SUPPNV
dataset,SUPPPC
dataset,SUPPPP
dataset,SUPPPR
dataset,SUPPQS
dataset,SUPPRS
dataset,SUPPSS
dataset,SUPPSU
dataset,SUPPSV
dataset,SUPPTR
dataset,SUPPTU
dataset,SUPPUR
dataset,SUPPVS
dataset,SUPPXA
dataset,SUPPXM
dataset,SV
dataset,TA
dataset,TD
dataset,TE
dataset,TI
dataset,TM
dataset,TP
dataset,TR
dataset,TS
dataset,TT
dataset,TU
dataset,TV
dataset,TX
dataset,UR
dataset,VS
dataset,XA
dataset,XD
dataset,XM
variable,ABNORMSP
variable,ACGRPID
variable,ACNADW
variable,ACNDD
variable,ACNDI
variable,ACNDIINT
variable,ACNDINT
variable,ACNDIUR
variable,ACNDNC
variable,ACNDR
variable,ACNDRR
variable,ACNDW
variable,ACPARM
variable,ACPARMCD
variable,ACSEQ
variable,ACTARM
variable,ACTARMCD
variable,ACTARMUD
variable,ACVAL
variable,ACVALCD
variable,ACVALNF
variable,ACVALU
variable,ACVCDREF
variable,ACVCDVER
variable,AEACN
variable,AEACNDEV
variable,AEACNOTH
variable,AEBDSYCD
variable,AEBODSYS
variable,AECAT
variable,AECONTRT
variable,AEDECOD
variable,AEDIS
variable,AEDISCDT
variable,AEDLTFL
variable,AEDUR
variable,AEENDTC
variable,AEENDY
variable,AEENRF
variable,AEENRTPT
variable,AEENTPT
variable,AEGRPID
variable,AEHLGT
variable,AEHLGTCD
variable,AEHLT
variable,AEHLTCD
variable,AEHOSPDT
variable,AELLT
variable,AELLTCD
variable,AELOC
variable,AEMODIFY
variable,AEOUT
variable,AEPATT
variable,AEPRESP
variable,AEPTCD
variable,AEREFID
variable,AEREL
variable,AERELNST
variable,AERELOTH
variable,AERELPR
variable,AERLDEV
variable,AERLPRC
variable,AERLPRT
variable,AESCAN
variable,AESCAT
variable,AESCONG
variable,AESDISAB
variable,AESDTH
variable,AESEQ
variable,AESER
variable,AESEV
variable,AESHOSP
variable,AESIFL
variable,AESINTV
variable,AESITYP1
variable,AESITYP2
variable,AESITYP3
variable,AESLCTD
variable,AESLIFE
variable,AESMIE
variable,AESOC
variable,AESOCCD
variable,AESOD
variable,AESPID
variable,AESTDTC
variable,AESTDY
variable,AESTRTPT
variable,AESTTPT
variable,AETERM
variable,AETOXGR
variable,AETRTEM
variable,AEUNANT
variable,AEVCDVER
variable,AGCAT
variable,AGCLAS
variable,AGCLASCD
variable,AGDECOD
variable,AGDOSE
variable,AGDOSFRM
variable,AGDOSFRQ
variable,AGDOSTXT
variable,AGDOSU
variable,AGDUR
variable,AGE
variable,AGENDTC
variable,AGENDY
variable,AGENRF
variable,AGENRTPT
variable,AGENTPT
variable,AGETXT
variable,AGEU
variable,AGGRPID
variable,AGLNKGRP
variable,AGLNKID
variable,AGMODIFY
variable,AGOCCUR
variable,AGPRESP
variable,AGREASND
variable,AGROUTE
variable,AGSCAT
variable,AGSEQ
variable,AGSPID
variable,AGSTAT
variable,AGSTDTC
variable,AGSTDY
variable,AGSTRF
variable,AGSTRTPT
variable,AGSTTPT
variable,AGTRT
variable,APID
variable,ARM
variable,ARMCD
variable,ARMNRS
variable,ASSOCRAD
variable,ATCCODE1
variable,ATCCODE2
variable,ATCCODE3
variable,ATCCODE4
variable,ATCTEXT1
variable,ATCTEXT2
variable,ATCTEXT3
variable,ATCTEXT4
variable,BABNSP
variable,BCHRXN
variable,BECAT
variable,BECLMETH
variable,BEDECOD
variable,BEDIR
variable,BEDIR1
variable,BEDIR2
variable,BEDIR3
variable,BEDIR4
variable,BEDIR5
variable,BEDIR6
variable,BEDIR7
variable,BEDIR8
variable,BEDIR9
variable,BEDTC
variable,BEDUR
variable,BEDY
variable,BEENDTC
variable,BEENDY
variable,BEENRTPT
variable,BEENTPT
variable,BEGRPID
variable,BELAT
variable,BELOC
variable,BEMODIFY
variable,BEOCCUR
variable,BEPARTY
variable,BEPRESP
variable,BEPRTYID
variable,BEREASND
variable,BEREFID
variable,BESCAT
variable,BESEQ
variable,BESPCCND
variable,BESPEC
variable,BESPID
variable,BESTAT
variable,BESTDTC
variable,BESTDY
variable,BETERM
variable,BETPT
variable,BETPTNUM
variable,BRTHDTC
variable,BSANTREG
variable,BSBLFL
variable,BSCAT
variable,BSDTC
variable,BSDY
variable,BSELTM
variable,BSGRPID
variable,BSLOBXFL
variable,BSMETHOD
variable,BSNAM
variable,BSORRES
variable,BSORRESU
variable,BSREASND
variable,BSREFID
variable,BSRFTDTC
variable,BSSCAT
variable,BSSEQ
variable,BSSPCCND
variable,BSSPEC
variable,BSSPID
variable,BSSTAT
variable,BSSTRESC
variable,BSSTRESN
variable,BSSTRESU
variable,BSTEST
variable,BSTESTCD
variable,BSTPT
variable,BSTPTNUM
variable,BSTPTREF
