category,term
dataset,--
dataset,SQAP--
dataset,AP--
dataset,SUPP--
dataset,REL--
dataset,FA--
variable,--
variable,'--ABCLID
variable,'--ACN
variable,'--ACNDEV
variable,'--ACNOTH
variable,'--ACPTFL
variable,'--ADJ
variable,'--AGENT
variable,'--ANMETH
variable,'--ANTREG
variable,'--BDAGNT
variable,'--BDSYCD
variable,'--BEATNO
variable,'--BLFL
variable,'--BODSYS
variable,'--CAT
variable,'--CELLEV
variable,'--CELSTA
variable,'--CHDY
variable,'--CHENDY
variable,'--CHROM
variable,'--CHRON
variable,'--CHSTDY
variable,'--CLAS
variable,'--CLASCD
variable,'--CLSIG
variable,'--CNDAGT
variable,'--CNTMOD
variable,'--COLSRT
variable,'--CONC
variable,'--CONCU
variable,'--CONTRT
variable,'--COPYID
variable,'--CSMRKS
variable,'--CSTATE
variable,'--DECOD
variable,'--DETECT
variable,'--DIR
variable,'--DISTR
variable,'--DOSE
variable,'--DOSFRM
variable,'--DOSFRQ
variable,'--DOSRGM
variable,'--DOSTOT
variable,'--DOSTXT
variable,'--DOSU
variable,'--DRVFL
variable,'--DTC
variable,'--DTHREL
variable,'--DUR
variable,'--DY
variable,'--ELTM
variable,'--ENDTC
variable,'--ENDY
variable,'--ENINT
variable,'--ENRF
variable,'--ENRTPT
variable,'--ENTPT
variable,'--EPCHGI
variable,'--EVAL
variable,'--EVALID
variable,'--EVDTYP
variable,'--EVINTX
variable,'--EVLINT
variable,'--EXCLFL
variable,'--FAST
variable,'--FTDOSD
variable,'--GATDEF
variable,'--GATE
variable,'--GENLOC
variable,'--GENREF
variable,'--GENSR
variable,'--GRPID
variable,'--HLGT
variable,'--HLGTCD
variable,'--HLT
variable,'--HLTCD
variable,'--IMPLBL
variable,'--INDC
variable,'--INHERT
variable,'--LAT
variable,'--LEAD
variable,'--LLOD
variable,'--LLOQ
variable,'--LLT
variable,'--LLTCD
variable,'--LNKGRP
variable,'--LNKID
variable,'--LOBXFL
variable,'--LOC
variable,'--LOINC
variable,'--LOT
variable,'--METHOD
variable,'--MODIFY
variable,'--MOOD
variable,'--MRKSTR
variable,'--MSCBCE
variable,'--NAM
variable,'--NOMDY
variable,'--NOMLBL
variable,'--NRIND
variable,'--OBJ
variable,'--OCCUR
variable,'--ORNRHI
variable,'--ORNRLO
variable,'--ORREF
variable,'--ORRES
variable,'--ORRESU
variable,'--OUT
variable,'--PARTY
variable,'--PATT
variable,'--PDUR
variable,'--PORTOT
variable,'--POS
variable,'--PRESP
variable,'--PRTYID
variable,'--PSTRG
variable,'--PSTRGU
variable,'--PTCD
variable,'--PTFL
variable,'--PVRID
variable,'--REASEX
variable,'--REASND
variable,'--REASOC
variable,'--REASPF
variable,'--RECID
variable,'--REFID
variable,'--REL
variable,'--RELNST
variable,'--REPNUM
variable,'--RESCAT
variable,'--RESLOC
variable,'--RESSCL
variable,'--RESTYP
variable,'--RFTDTC
variable,'--RLDEV
variable,'--RLPRC
variable,'--RLPRT
variable,'--ROUTE
variable,'--RPDY
variable,'--RPENDY
variable,'--RPSTDY
variable,'--RSDISC
variable,'--RSTIND
variable,'--RSTMOD
variable,'--RUNID
variable,'--SBMRKS
variable,'--SCAN
variable,'--SCAT
variable,'--SCONG
variable,'--SDISAB
variable,'--SDTH
variable,'--SEQ
variable,'--SEQID
variable,'--SER
variable,'--SEV
variable,'--SHOSP
variable,'--SINTV
variable,'--SLIFE
variable,'--SMIE
variable,'--SOC
variable,'--SOCCD
variable,'--SOD
variable,'--SPCCND
variable,'--SPCUFL
variable,'--SPEC
variable,'--SPID
variable,'--SPTSTD
variable,'--STAT
variable,'--STDTC
variable,'--STDY
variable,'--STINT
variable,'--STNRC
variable,'--STNRHI
variable,'--STNRLO
variable,'--STREFC
variable,'--STREFN
variable,'--STRESC
variable,'--STRESN
variable,'--STRESU
variable,'--STRF
variable,'--STRTPT
variable,'--STTPT
variable,'--SYM
variable,'--SYMTYP
variable,'--TDOSD
variable,'--TERM
variable,'--TEST
variable,'--TESTCD
variable,'--TMTHSN
variable,'--TOX
variable,'--TOXGR
variable,'--TPT
variable,'--TPTNUM
variable,'--TPTREF
variable,'--TRT
variable,'--TRTV
variable,'--TSTCND
variable,'--TSTDTL
variable,'--TSTOPO
variable,'--TSTPNL
variable,'--ULOQ
variable,'--UNANT
variable,'--USCHFL
variable,'--VAMT
variable,'--VAMTU
variable,'--XDY
variable,'--XENDY
variable,'--XFN
variable,'--XSTDY
